VAR00001,a63,a7a,a11,a62,e90f,e10,e11,e8901,e8902,e8903,e8904,e8905,e8906,e8907,e8908,e8909,e8910,e89a,s1,s41,s42,s43,s44,s45
 ,3,11,100,150000, , , , , , , , , , , , , , ,1,27,77,117,309,417
 ,3,12,73,140000, , , , , , , , , , , , , , ,1,27,78,118,313,421
 ,3,4,100,40000, , , , , , , , , , , , , , ,2,27,77,117,310,418
 ,2,4,60,8400, , , , , , , , , , , , , , ,1,27,78,118,315,423
 ,3,9,53,76800, ,6,7,0,0,0,0,0,0,1,0,0,0, ,1,27,78,118,314,422
 ,2,3,89,50000, , , , , , , , , , , , , , ,1,27,77,117,309,417
 ,3,10,85,70000, ,5,6,0,0,0,0,0,1,0,0,0,0, ,1,27,78,118,313,421
 ,4,1,81,220000, , , , , , , , , , , , , , ,1,27,78,118,313,421
 ,2,12,70,100000, ,4,4,0,0,0,0,0,1,0,0,0,0, ,1,27,79,119,317,426
 ,2,6,65,65000, , , , , , , , , , , , , , ,1,27,79,119,316,425
 ,3,7,85,100000, , , , , , , , , , , , , , ,1,27,80,120,319,428
 ,1,13,40,80000, ,6,6,0,0,1,0,0,0,0,0,0,0, ,1,27,80,120,321,430
 ,2,13,93,40000, , , , , , , , , , , , , , ,1,27,77,117,311,419
 ,2,6,45,30000, , , , , , , , , , , , , , ,1,27,79,119,317,426
 ,3,3,67,50000, ,8,9,0,1,0,0,1,0,0,0,1,0, ,2,27,80,120,322,431
 ,5,9,104,72000, , , , , , , , , , , , , , ,1,27,79,119,318,427
 ,1,1,50,24000, , , , , , , , , , , , , , ,1,27,78,118,312,420
 ,2,3,85,50000, ,6,7,0,0,0,0,0,0,1,0,0,0, ,1,27,80,120,319,428
 ,1,12,50,40000, ,7,9,0,0,0,0,0,0,0,0,0,0,不适用,1,27,78,118,315,423
 ,3,4,70,20000, , , , , , , , , , , , , , ,1,27,79,119,316,424
 ,4,12,50,30000, , , , , , , , , , , , , , ,1,27,79,119,316,424
 ,4,10,180,-3, , , , , , , , , , , , , , ,1,27,77,117,311,419
 ,3,12,110,60000, , , , , , , , , , , , , , ,1,27,80,120,321,430
 ,2,7,60,80000, , , , , , , , , , , , , , ,1,27,78,118,313,421
 ,1,1,56,10000, , , , , , , , , , , , , , ,1,27,80,120,319,428
 ,1,4,81,500000, ,5,7,0,0,0,0,0,1,0,0,0,0, ,1,27,79,119,318,427
 ,3,1,100,-3, , , , , , , , , , , , , , ,1,27,77,117,311,419
 ,1,9,40,58200, , , , , , , , , , , , , , ,1,27,78,118,312,420
 ,6,4,200,50000, , , , , , , , , , , , , , ,2,27,77,117,310,418
 ,2,6,50,20000, , , , , , , , , , , , , , ,1,27,78,118,313,421
 ,3,4,50,40000, , , , , , , , , , , , , , ,1,27,78,118,314,422
 ,2,4,70,54000, , , , , , , , , , , , , , ,1,27,80,120,319,428
 ,2,13,80,50000, ,5,6,0,0,0,0,0,0,0,0,0,0,电,1,27,79,119,316,425
 ,2,7,80,90000, ,6,8,0,0,0,0,0,1,0,0,0,0, ,1,27,77,117,309,417
 ,2,12,88,100000, , , , , , , , , , , , , , ,1,27,80,120,321,430
 ,2,3,70,60000, , , , , , , , , , , , , , ,1,27,79,119,316,424
 ,2,4,28,40000, , , , , , , , , , , , , , ,1,27,78,118,314,422
 ,1,6,18,26400, , , , , , , , , , , , , , ,1,27,78,118,315,423
 ,-1,12,60,48000, , , , , , , , , , , , , , ,1,27,78,118,313,421
 ,1,13,50,0, ,7,9,0,0,0,0,0,1,0,0,0,0, ,1,27,78,118,312,420
 ,2,7,60,40000, , , , , , , , , , , , , , ,1,27,77,117,308,416
 ,3,4,53,54000, ,5,7,0,0,0,0,1,0,0,0,0,0, ,1,27,79,119,316,425
 ,3,12,130,70000, , , , , , , , , , , , , , ,1,27,77,117,311,419
 ,5,3,72,80000, , , , , , , , , , , , , , ,1,27,80,120,319,428
 ,2,4,80,50000, ,5,8,0,0,0,0,0,1,0,0,0,0, ,1,27,80,120,321,430
 ,2,3,77,33600, , , , , , , , , , , , , , ,1,27,78,118,313,421
 ,2,12,133,35000, , , , , , , , , , , , , , ,1,27,77,117,311,419
 ,1,12,99,150000, , , , , , , , , , , , , , ,1,27,77,117,309,417
 ,3,4,30,60000, , , , , , , , , , , , , , ,1,27,78,118,315,423
 ,1,3,50,70000, ,4,5,0,0,0,0,0,1,0,0,0,0, ,1,27,79,119,316,424
 ,1,4,50,40000, ,6,8,0,0,0,0,0,1,0,0,0,0, ,1,27,79,119,318,427
 ,1,9,50,40000, , , , , , , , , , , , , , ,1,27,78,118,315,423
 ,3,5,50,40000, , , , , , , , , , , , , , ,1,27,79,119,317,426
 ,2,4,53.7000007629395,30000, , , , , , , , , , , , , , ,1,27,80,120,321,430
 ,3,9,104,100000, , , , , , , , , , , , , , ,1,27,79,119,318,427
 ,3,6,51,20000, , , , , , , , , , , , , , ,1,27,78,118,312,420
 ,3,4,95,20000, , , , , , , , , , , , , , ,1,27,80,120,320,429
 ,2,12,85,50000, , , , , , , , , , , , , , ,1,27,78,118,313,421
 ,3,12,100,100000, ,6,7,0,0,0,0,0,1,0,0,0,0, ,1,27,78,118,315,423
 ,1,12,110,100000, ,9,9,0,0,0,0,1,0,0,0,0,0, ,1,27,77,117,308,416
 ,2,12,60,50000, , , , , , , , , , , , , , ,1,27,79,119,316,425
 ,2,6,45,8000, , , , , , , , , , , , , , ,1,27,80,120,320,429
 ,2,1,60,-2, , , , , , , , , , , , , , ,2,27,77,117,310,418
 ,2,4,40,60000, , , , , , , , , , , , , , ,1,27,79,119,316,425
 ,2,10,60,50000, , , , , , , , , , , , , , ,1,27,79,119,317,426
 ,5,4,54,50000, ,7,9,0,0,0,0,0,0,1,0,0,0, ,1,27,80,120,319,428
 ,5,3,50,20000, ,2,4,0,0,0,0,0,0,0,0,0,1, ,2,27,77,117,310,418
 ,2,3,64,5100, , , , , , , , , , , , , , ,2,27,80,120,322,431
 ,2,11,128,80000, ,6,7,0,0,0,0,0,1,0,0,0,0, ,1,27,77,117,309,417
 ,2,3,40,25000, , , , , , , , , , , , , , ,1,27,79,119,317,426
 ,5,6,70,50000, ,5,7,0,0,0,0,1,0,0,0,0,0, ,1,27,78,118,314,422
 ,1,4,30,12000, ,8,9,0,1,0,0,0,0,0,0,0,0, ,1,27,80,120,319,428
 ,1,13,65,12000, , , , , , , , , , , , , , ,1,27,78,118,312,420
 ,2,4,88,35000, ,5,7,0,0,0,0,0,0,1,0,0,0, ,1,27,80,120,321,430
 ,3,4,70,60000, , , , , , , , , , , , , , ,1,27,80,120,320,429
 ,1,6,90,50000, ,4,6,0,0,0,0,0,1,0,0,0,0, ,1,27,79,119,316,424
 ,1,1,50,20000, , , , , , , , , , , , , , ,1,27,79,119,316,424
 ,3,4,66,30000, , , , , , , , , , , , , , ,1,27,77,117,308,416
 ,2,7,43,54000, , , , , , , , , , , , , , ,1,27,78,118,315,423
 ,2,3,52,45000, , , , , , , , , , , , , , ,1,27,79,119,316,424
 ,4,7,70,60000, ,4,7,0,0,0,0,0,1,0,0,0,0, ,1,27,77,117,309,417
 ,3,4,58,50000, , , , , , , , , , , , , , ,1,27,79,119,316,424
 ,3,3,80,3000, , , , , , , , , , , , , , ,2,27,77,117,310,418
 ,3,1,98.4000015258789,-3, , , , , , , , , , , , , , ,1,27,80,120,320,429
 ,4,10,176,200000, , , , , , , , , , , , , , ,1,27,77,117,311,419
 ,2,6,54,22000, , , , , , , , , , , , , , ,1,27,78,118,315,423
 ,5,3,94,30000, , , , , , , , , , , , , , ,1,27,79,119,318,427
 ,7,10,70,0, , , , , , , , , , , , , , ,1,27,77,117,311,419
 ,2,6,37,40000, ,4,6,0,0,0,0,1,0,0,0,0,0, ,1,27,79,119,317,426
 ,2,3,53,30000, , , , , , , , , , , , , , ,1,27,77,117,311,419
 ,2,12,95,10000, , , , , , , , , , , , , , ,1,27,78,118,313,421
 ,1,6,45,40000, , , , , , , , , , , , , , ,1,27,79,119,316,425
 ,2,3,56,3000, ,6,6,0,0,0,0,0,0,1,0,0,0, ,1,27,80,120,319,428
 ,1,4,38,20000, ,4,5,0,0,0,0,1,0,0,0,0,0, ,1,27,79,119,317,426
 ,3,12,100,70000, , , , , , , , , , , , , , ,1,27,77,117,308,416
 ,2,4,82,24000, , , , , , , , , , , , , , ,1,27,78,118,313,421
 ,1,3,56,16800, , , , , , , , , , , , , , ,1,27,78,118,312,420
 ,3,7,52,12000, , , , , , , , , , , , , , ,1,27,79,119,316,424
 ,3,6,50,40000, , , , , , , , , , , , , , ,1,27,79,119,316,425
 ,2,4,53,55000, , , , , , , , , , , , , , ,1,27,79,119,316,425
 ,3,4,90,50000, , , , , , , , , , , , , , ,1,27,80,120,320,429
 ,2,3,90,4000, ,4,4,0,0,0,0,0,0,0,0,1,0, ,2,27,77,117,310,418
 ,3,4,150,20000, , , , , , , , , , , , , , ,2,27,77,117,310,418
 ,2,10,80,-2, , , , , , , , , , , , , , ,1,27,78,118,313,421
 ,2,4,67,70000, , , , , , , , , , , , , , ,1,27,80,120,320,429
 ,2,3,91,60000, ,3,5,0,1,0,0,0,0,0,0,1,0, ,1,27,80,120,320,429
 ,2,7,56,40000, , , , , , , , , , , , , , ,1,27,77,117,311,419
 ,3,4,70,10000, ,6,6,0,0,0,0,0,1,0,0,0,0, ,1,27,80,120,320,429
 ,3,4,56,50000, ,5,1,0,0,0,0,0,1,0,0,0,0, ,1,27,79,119,318,427
 ,2,4,55,45000, , , , , , , , , , , , , , ,1,27,78,118,314,422
 ,2,7,80,60000, , , , , , , , , , , , , , ,1,27,80,120,321,430
 ,2,4,54.2999992370605,18000, , , , , , , , , , , , , , ,1,27,79,119,316,424
 ,3,9,60,48000, , , , , , , , , , , , , , ,1,27,79,119,318,427
 ,1,11,120,-2, , , , , , , , , , , , , , ,1,27,80,120,320,429
 ,2,4,41,64800, ,4,6,0,0,0,0,1,0,0,0,0,0, ,1,27,79,119,316,425
 ,1,3,60,50000, , , , , , , , , , , , , , ,1,27,78,118,312,420
 ,2,9,65,50000, ,6,6,0,0,0,0,1,0,0,0,0,0, ,1,27,79,119,316,425
 ,3,3,180,30000, , , , , , , , , , , , , , ,2,27,80,120,322,431
 ,1,3,65,20000, , , , , , , , , , , , , , ,1,27,80,120,319,428
 ,1,3,70,60000, ,5,4,0,0,0,0,1,0,0,0,0,0, ,1,27,79,119,316,425
 ,2,4,60,35000, , , , , , , , , , , , , , ,1,27,80,120,319,428
 ,3,4,53,30000, , , , , , , , , , , , , , ,1,27,79,119,316,425
 ,1,3,80,20000, , , , , , , , , , , , , , ,1,27,79,119,316,425
 ,4,6,100,60000, , , , , , , , , , , , , , ,1,27,77,117,309,417
 ,2,4,67,60000, , , , , , , , , , , , , , ,1,27,79,119,316,424
 ,2,4,43,61000, , , , , , , , , , , , , , ,1,27,79,119,316,425
 ,3,7,90,-3, , , , , , , , , , , , , , ,1,27,77,117,309,417
 ,2,9,87,45000, , , , , , , , , , , , , , ,1,27,79,119,318,427
 ,2,6,100,100000, , , , , , , , , , , , , , ,1,27,78,118,312,420
 ,2,6,60,18000, , , , , , , , , , , , , , ,1,27,79,119,316,425
 ,5,10,131,100000, , , , , , , , , , , , , , ,1,27,78,118,315,423
 ,2,4,50,80000, , , , , , , , , , , , , , ,1,27,79,119,318,427
 ,3,7,72,67000, , , , , , , , , , , , , , ,1,27,78,118,312,420
 ,3,13,55,80000, , , , , , , , , , , , , , ,1,27,80,120,321,430
 ,2,7,54,50000, , , , , , , , , , , , , , ,1,27,80,120,321,430
 ,3,4,51,40000, ,-8,6,0,0,0,0,0,0,1,0,0,0, ,1,27,78,118,312,420
 ,3,6,94.3000030517578,50000, , , , , , , , , , , , , , ,1,27,79,119,317,426
 ,2,7,62,58000, ,6,5,0,0,0,0,0,1,0,0,0,0, ,1,27,79,119,316,424
 ,2,12,95,50000, ,7,9,0,0,0,0,1,0,0,0,0,0, ,1,27,77,117,308,416
 ,3,6,70,90000, , , , , , , , , , , , , , ,1,27,78,118,312,420
 ,3,4,53,30000, , , , , , , , , , , , , , ,1,27,79,119,316,424
 ,1,4,54,35000, , , , , , , , , , , , , , ,1,27,79,119,318,427
 ,1,4,55,60000, ,8,9,0,0,0,0,0,0,1,0,0,0, ,1,27,78,118,315,423
 ,2,4,56,60000, , , , , , , , , , , , , , ,1,27,79,119,316,424
 ,5,13,90,80000, ,5,7,0,0,0,0,1,0,0,0,0,0, ,1,27,78,118,313,421
 ,2,3,57,48000, , , , , , , , , , , , , , ,1,27,77,117,308,416
 ,2,4,60,5000, , , , , , , , , , , , , , ,1,27,79,119,316,424
 ,3,12,100,36000, ,7,9,0,0,0,0,0,0,0,0,0,0,不适用,1,27,78,118,315,423
 ,1,10,100,-2, , , , , , , , , , , , , , ,1,27,78,118,312,420
 ,5,4,50,20000, , , , , , , , , , , , , , ,1,27,79,119,316,424
 ,1,6,60,50000, ,6,8,0,0,0,0,0,1,0,0,0,0, ,1,27,77,117,308,416
 ,3,10,70,50000, ,5,2,0,0,0,0,0,1,0,0,0,0, ,1,27,79,119,316,424
 ,2,3,70,33600, , , , , , , , , , , , , , ,1,27,79,119,318,427
 ,3,10,72,100000, , , , , , , , , , , , , , ,1,27,80,120,320,429
 ,2,4,43,60000, , , , , , , , , , , , , , ,1,27,79,119,316,425
 ,3,4,63,20000, , , , , , , , , , , , , , ,1,27,80,120,319,428
 ,4,4,100,50000, , , , , , , , , , , , , , ,2,27,80,120,322,431
 ,2,7,60,72000, ,4,1,0,0,0,0,0,0,1,0,0,0, ,1,27,80,120,319,428
 ,2,3,75,30000, , , , , , , , , , , , , , ,1,27,80,120,321,430
 ,2,3,60,7000, , , , , , , , , , , , , , ,2,27,77,117,310,418
 ,2,9,52,100000, , , , , , , , , , , , , , ,1,27,80,120,320,429
 ,4,4,60,80000, , , , , , , , , , , , , , ,1,27,80,120,319,428
 ,2,4,60,4800, , , , , , , , , , , , , , ,1,27,79,119,316,425
 ,3,3,140,110000, ,6,7,0,0,0,0,0,1,0,0,0,0, ,1,27,80,120,321,430
 ,2,7,80,70000, ,1,1,0,0,0,0,0,1,0,0,0,0, ,1,27,77,117,309,417
 ,2,4,100,-2, , , , , , , , , , , , , , ,2,27,80,120,322,431
 ,3,6,37,90000, , , , , , , , , , , , , , ,1,27,78,118,312,420
 ,2,4,82,80000, , , , , , , , , , , , , , ,1,27,79,119,318,427
 ,2,7,83,70000, , , , , , , , , , , , , , ,1,27,77,117,309,417
 ,1,7,100,100000, , , , , , , , , , , , , , ,1,27,78,118,313,421
 ,2,3,61,19200, , , , , , , , , , , , , , ,2,27,80,120,322,431
 ,1,12,55,100000, , , , , , , , , , , , , , ,1,27,79,119,317,426
 ,6,4,100,60000,1.70000004768372,8,9,1,0,0,0,0,0,0,0,0,0, ,2,27,80,120,322,431
 ,1,6,75,-2, ,5,4,0,0,0,0,0,0,0,0,0,0,不知道,1,27,78,118,312,420
 ,4,4,39,100000, ,6,8,0,0,0,0,0,1,0,0,0,0, ,1,27,79,119,317,426
 ,-2,3,120,10000, , , , , , , , , , , , , , ,2,27,77,117,310,418
 ,4,6,70,250000, ,5,4,0,0,1,0,0,1,0,0,0,0, ,1,27,79,119,318,427
 ,5,6,70,36000, , , , , , , , , , , , , , ,1,27,80,120,319,428
 ,2,4,100,80000, ,6,9,0,0,0,0,0,1,0,0,0,0, ,1,27,77,117,308,416
 ,3,6,50,50000, , , , , , , , , , , , , , ,1,27,79,119,317,426
 ,2,4,40,24000, ,5,6,0,0,0,0,1,0,0,0,0,0, ,1,27,79,119,316,425
 ,1,9,115,40000, ,5,7,0,0,0,0,0,1,0,0,0,0, ,1,27,80,120,321,430
 ,1,4,101,27756, ,6,7,0,0,0,0,0,0,1,0,0,0, ,1,27,80,120,320,429
 ,3,4,70,35000, ,5,5,0,0,0,0,0,1,0,0,0,0, ,1,27,79,119,318,427
 ,2,4,56,42000, , , , , , , , , , , , , , ,1,27,79,119,317,426
 ,2,6,62.7000007629395,24000, ,6,8,0,0,0,0,0,1,0,0,0,0, ,1,27,80,120,321,430
 ,1,7,150,0, , , , , , , , , , , , , , ,1,27,78,118,313,421
 ,3,11,120,60000, , , , , , , , , , , , , , ,1,27,77,117,311,419
 ,4,4,120,120000,1,6,7,1,1,1,1,0,0,0,0,1,1, ,2,27,77,117,310,418
 ,1,3,56,6060, , , , , , , , , , , , , , ,1,27,79,119,317,426
 ,2,1,80,3440, , , , , , , , , , , , , , ,2,27,77,117,310,418
 ,2,10,100,40000, ,4,7,0,0,0,0,0,1,0,0,0,0, ,1,27,77,117,311,419
 ,3,4,79,200000, , , , , , , , , , , , , , ,1,27,79,119,317,426
 ,3,12,60,70000, , , , , , , , , , , , , , ,1,27,79,119,316,424
 ,4,10,53,60000, , , , , , , , , , , , , , ,1,27,79,119,317,426
 ,3,6,90,50000, , , , , , , , , , , , , , ,1,27,80,120,321,430
 ,2,3,45,20000, , , , , , , , , , , , , , ,1,27,79,119,317,426
 ,4,4,180,45000, , , , , , , , , , , , , , ,2,27,80,120,322,431
 ,2,3,110,2000, ,6,9,0,1,0,0,0,0,0,0,0,1, ,2,27,77,117,310,418
 ,2,10,60,70000, , , , , , , , , , , , , , ,1,27,79,119,318,427
 ,2,3,45,-2, ,3,3,0,0,0,0,0,0,1,0,0,0, ,1,27,77,117,308,416
 ,1,4,60,-2, ,6,6,0,0,0,0,0,0,1,0,0,0, ,1,27,78,118,315,423
 ,3,4,60,24000, , , , , , , , , , , , , , ,1,27,80,120,319,428
 ,3,4,30,48000, , , , , , , , , , , , , , ,1,27,78,118,314,422
 ,3,4,96,50000, , , , , , , , , , , , , , ,1,27,80,120,320,429
 ,3,6,94,28800, , , , , , , , , , , , , , ,1,27,77,117,309,417
 ,2,3,68,4000, , , , , , , , , , , , , , ,2,27,77,117,310,418
 ,2,12,92,80000, ,5,8,0,0,0,0,0,1,0,0,0,0, ,1,27,80,120,321,430
 ,3,4,36,24000, , , , , , , , , , , , , , ,1,27,79,119,317,426
 ,3,6,83,80000, , , , , , , , , , , , , , ,1,27,80,120,321,430
 ,2,6,84,48000, , , , , , , , , , , , , , ,1,27,80,120,319,428
 ,2,10,60,-3, ,6,4,0,0,0,0,0,0,1,0,0,0, ,1,27,78,118,315,423
 ,4,3,90,50000, ,4,5,0,0,0,0,0,0,1,0,0,0, ,1,27,80,120,319,428
 ,2,6,84,40000, , , , , , , , , , , , , , ,1,27,80,120,319,428
 ,3,13,105,60000, ,6,7,0,0,0,0,0,1,0,0,0,0, ,1,27,78,118,315,423
 ,2,4,78,120000, , , , , , , , , , , , , , ,1,27,80,120,320,429
 ,3,13,63,200000, ,5,7,0,0,0,0,0,0,1,0,0,0, ,1,27,78,118,312,420
 ,4,9,67,110000, ,6,7,0,0,0,0,0,1,0,0,0,0, ,1,27,78,118,315,423
 ,2,4,55,76560, ,5,6,0,0,0,0,0,1,0,0,0,0, ,1,27,80,120,320,429
 ,3,3,50,2640, , , , , , , , , , , , , , ,2,27,77,117,310,418
 ,1,4,60,24000, , , , , , , , , , , , , , ,1,27,80,120,319,428
 ,2,4,53,30000, , , , , , , , , , , , , , ,1,27,80,120,319,428
 ,2,4,32,45000, , , , , , , , , , , , , , ,1,27,79,119,316,425
 ,2,1,120,660, , , , , , , , , , , , , , ,2,27,77,117,310,418
 ,5,10,80,200000, ,6,7,0,0,0,0,0,0,1,0,0,0, ,1,27,78,118,312,420
 ,3,10,57,60000, ,5,6,0,0,0,0,0,1,0,0,0,0, ,1,27,78,118,314,422
 ,3,6,140,-2, ,7,8,0,0,1,0,0,1,0,0,0,0, ,1,27,80,120,321,430
 ,6,1,58.5,50000, , , , , , , , , , , , , , ,2,27,77,117,310,418
 ,4,9,20,400000, , , , , , , , , , , , , , ,2,27,80,120,322,431
 ,4,1,75,13320, ,5,4,0,0,0,0,1,0,0,0,0,0, ,1,27,80,120,320,429
 ,3,4,80,75000, ,9,9,0,0,0,0,0,1,0,0,0,0, ,1,27,77,117,309,417
 ,2,3,64,0, , , , , , , , , , , , , , ,1,27,80,120,320,429
 ,2,1,80,45000, ,5,8,0,0,0,0,0,1,0,0,0,0, ,1,27,77,117,308,416
 ,2,4,42,60000, , , , , , , , , , , , , , ,1,27,79,119,316,425
 ,2,6,80,40000, ,5,7,0,0,0,0,0,1,0,0,0,0, ,1,27,77,117,311,419
 ,3,10,85,80000, , , , , , , , , , , , , , ,1,27,80,120,321,430
 ,1,1,70,6000, , , , , , , , , , , , , , ,2,27,77,117,310,418
 ,2,4,45,35000, ,7,9,0,0,0,0,0,1,0,0,0,0, ,1,27,77,117,308,416
 ,2,4,40,60000, ,3,4,0,0,0,0,0,0,0,0,0,0,什么都不用,1,27,79,119,316,425
 ,2,4,120,80000, , , , , , , , , , , , , , ,1,27,77,117,311,419
 ,2,6,65,40000, , , , , , , , , , , , , , ,1,27,80,120,320,429
 ,1,6,50,0, , , , , , , , , , , , , , ,1,27,77,117,311,419
 ,2,3,70,50000, , , , , , , , , , , , , , ,2,27,80,120,322,431
 ,2,12,100,70000, , , , , , , , , , , , , , ,1,27,77,117,311,419
 ,3,4,70,50000, , , , , , , , , , , , , , ,1,27,77,117,309,417
 ,4,4,60,50000, , , , , , , , , , , , , , ,1,27,79,119,318,427
 ,3,4,40,10000, , , , , , , , , , , , , , ,1,27,80,120,321,430
 ,1,3,80,60000, , , , , , , , , , , , , , ,1,27,78,118,314,422
 ,5,7,75,50000, , , , , , , , , , , , , , ,1,27,79,119,318,427
 ,2,4,90,40000, , , , , , , , , , , , , , ,1,27,80,120,320,429
 ,3,12,60,50000, , , , , , , , , , , , , , ,1,27,80,120,320,429
 ,2,1,70,60000, , , , , , , , , , , , , , ,1,27,77,117,308,416
 ,1,4,80,200000, ,7,9,0,0,0,0,1,0,0,0,0,0, ,1,27,78,118,314,422
 ,2,9,74,45600, ,7,8,0,0,0,0,0,0,0,0,0,0,电,1,27,77,117,311,419
 ,2,11,100,50000, ,9,9,0,0,0,0,0,1,0,0,0,0, ,1,27,77,117,308,416
 ,3,12,100,70000, ,8,9,0,0,0,0,0,1,0,0,0,0, ,1,27,77,117,311,419
 ,2,4,26,25000, , , , , , , , , , , , , , ,1,27,79,119,318,427
 ,4,9,110,46000, , , , , , , , , , , , , , ,1,27,77,117,309,417
 ,1,1,70,14400, , , , , , , , , , , , , , ,2,27,80,120,322,431
 ,4,4,67,45600, , , , , , , , , , , , , , ,1,27,79,119,318,427
 ,3,4,87,74000, , , , , , , , , , , , , , ,1,27,77,117,309,417
 ,1,7,60,30000, ,-8,7,0,0,0,0,0,0,0,0,0,0,不适用,1,27,79,119,318,427
 ,1,3,56,25000, ,4,6,0,0,0,0,1,0,0,0,0,0, ,1,27,77,117,308,416
 ,3,12,130,300000, , , , , , , , , , , , , , ,1,27,77,117,311,419
 ,1,2,72,5600, ,3,6,0,0,0,0,0,0,0,0,0,1, ,2,27,77,117,310,418
 ,2,4,80,70000, , , , , , , , , , , , , , ,1,27,78,118,314,422
 ,1,6,40,24000, , , , , , , , , , , , , , ,1,27,78,118,314,422
 ,3,7,100,50000, , , , , , , , , , , , , , ,1,27,77,117,308,416
 ,3,4,80,80000, ,4,4,0,0,0,0,1,0,0,0,0,0, ,1,27,78,118,314,422
 ,2,12,148,96000, , , , , , , , , , , , , , ,1,27,77,117,308,416
 ,2,3,120,7800, , , , , , , , , , , , , , ,2,27,80,120,322,431
 ,2,4,100,13000, , , , , , , , , , , , , , ,2,27,77,117,310,418
 ,7,4,220,35000, ,9,9,0,1,0,0,0,0,0,0,1,1, ,2,27,77,117,310,418
 ,2,4,42,40000, , , , , , , , , , , , , , ,1,27,78,118,314,422
 ,2,7,28,6960, , , , , , , , , , , , , , ,1,27,78,118,314,422
 ,4,6,72,30000, ,5,6,0,1,0,0,0,0,0,0,0,1, ,2,27,80,120,322,431
 ,3,4,100,12000, , , , , , , , , , , , , , ,2,27,77,117,310,418
 ,3,1,103,100000, ,4,8,0,0,0,0,0,1,0,0,0,0, ,1,27,78,118,314,422
 ,3,4,200,-3, , , , , , , , , , , , , , ,2,27,80,120,322,431
 ,2,4,70,-2, ,8,9,0,0,0,0,0,0,0,0,0,1, ,2,27,77,117,310,418
 ,2,2,60,14000, , , , , , , , , , , , , , ,2,27,80,120,322,431
 ,2,4,20,80000, , , , , , , , , , , , , , ,1,27,78,118,314,422
 ,3,4,40,70000, ,8,9,0,0,0,0,0,1,0,0,0,0, ,1,27,78,118,314,422
 ,3,12,50,20000, ,7,9,0,0,0,0,0,1,0,0,0,0, ,1,27,78,118,314,422
 ,4,6,70,110000, ,4,5,0,0,0,0,1,0,0,0,0,0, ,1,27,78,118,314,422
 ,4,4,80,65000, , , , , , , , , , , , , , ,2,27,80,120,322,431
 ,2,4,65,50000, , , , , , , , , , , , , , ,1,27,78,118,314,422
 ,4,3,96,1000,.699999988079071,6,6,1,0,0,0,1,0,0,0,1,0, ,2,27,80,120,322,431
 ,2,3,72,25000, , , , , , , , , , , , , , ,2,27,80,120,322,431
 ,3,3,100,40000, , , , , , , , , , , , , , ,2,27,80,120,322,431
 ,5,4,120,60000, ,8,9,0,1,0,1,1,0,0,0,1,0, ,2,27,80,120,322,431
 ,2,4,40,20000, , , , , , , , , , , , , , ,2,27,80,120,322,431
 ,3,4,75,30000, , , , , , , , , , , , , , ,2,5,9,25,49,80
 ,2,7,90,90000, , , , , , , , , , , , , , ,1,5,8,23,42,73
 ,6,4,100,30000, , , , , , , , , , , , , , ,2,5,9,25,47,78
 ,4,3,100,40000, , , , , , , , , , , , , , ,2,5,10,26,51,84
 ,6,4,100,20000, , , , , , , , , , , , , , ,1,5,11,27,54,87
 ,-3,4,60,12000, ,4,4,0,0,0,0,0,0,1,0,0,0, ,1,5,11,27,53,86
 ,4,4,51,50000, , , , , , , , , , , , , , ,2,5,10,26,50,82
 ,5,3,81,90000, ,6,8,0,1,0,0,0,0,0,0,1,0, ,2,5,9,25,48,79
 ,3,4,138,53000, ,9,9,0,0,0,0,0,1,0,0,0,0, ,1,5,11,27,54,87
 ,4,4,75,-3, , , , , , , , , , , , , , ,2,5,8,24,45,76
 ,2,4,110,30000, , , , , , , , , , , , , , ,2,5,10,26,52,85
 ,2,3,80,30000, , , , , , , , , , , , , , ,2,5,10,26,50,82
 ,4,3,120,40000, ,9,9,0,0,0,0,0,0,0,0,1,0, ,2,5,10,26,51,83
 ,2,4,54,20000, , , , , , , , , , , , , , ,1,5,8,23,39,70
 ,3,12,70,100000, , , , , , , , , , , , , , ,1,5,8,24,44,75
 ,4,7,115,90000, , , , , , , , , , , , , , ,1,5,11,27,56,89
 ,1,4,80,20000, ,6,8,0,0,0,0,0,0,1,0,0,0, ,1,5,8,23,41,72
 ,2,4,54,40000, ,8,6,0,0,0,0,1,0,0,0,0,0, ,1,5,8,23,39,70
 ,2,1,75,60000, ,8,8,0,0,0,0,1,0,0,0,0,0, ,1,5,8,24,44,75
 ,3,10,40,30000, , , , , , , , , , , , , , ,1,5,8,24,46,77
 ,3,3,70,80000, , , , , , , , , , , , , , ,2,5,10,26,50,82
 ,3,1,30,20000, ,4,5,0,0,0,0,0,0,0,0,0,0,拒绝回答,1,5,8,24,46,77
 ,1,12,80,-2, , , , , , , , , , , , , , ,1,5,8,23,42,73
 ,1,6,49,10000, , , , , , , , , , , , , , ,1,5,11,27,53,86
 ,2,6,58,20000, , , , , , , , , , , , , , ,1,5,8,23,42,73
 ,6,12,80,10000, ,6,8,0,0,0,0,0,0,0,0,0,1, ,2,5,9,25,49,80
 ,2,4,80,20000, , , , , , , , , , , , , , ,1,5,11,27,54,87
 ,4,3,120,20000, , , , , , , , , , , , , , ,2,5,10,26,51,84
